,prix,Taxes_municipales,Taxes_scolaires,Electricite,Assurances,ville,region,adresse,chambres,salle_de_bain,salle_d_eau,etage,Aire_habitable,Taille_du_terrain
6736,999999,"2249,27$","155,99$",,,Sherbrooke (Mont-Bellevue),Estrie,"1851, rue d'Orléans",2,1,1,1,750.0,5000.0
6737,189900,"363,56$","154,19$",,,L'Épiphanie,Lanaudière,"65, rang du Bas-de-l'Achigan",,,,,,49698.1884
6738,75000,,,,,Portneuf-sur-mer,Côte-Nord,"427, rue Principale",,1,,1,,25524.46
6739,315000,"2000,70$","260,00$",,,St-Augustin-De-Desmaures,Québec Rive-Nord,"2029, 15e Avenue",,,,,,43420.0
6740,550000,"5500,00$","480,00$","6000,00$","3000,00$",Shawinigan (Grand-Mère),Mauricie,"736, avenue de Grand-Mère",,,,,,8948.3524
6741,850000,"3301,19$","450,00$",,,Val-Des-Monts,Outaouais,"95, rue Mitchell",4,2,2,1,1605.0,54450.0
6742,99000,,,,,ND-De-Montauban,Mauricie,"449, route Rousseau",,,,,,80000.0
6743,1800000,,,,,St-Cyrille-De-Wendover,Centre-du-Québec,", boulevard Terra-Jet",,,,,,154000.0
6744,450000,"2973,00$","658,94$","1931,00$",,Beauport,Québec Rive-Nord,"61, rue Armand-Buteau",5,2,,2,1560.0,5397.0
6745,350000,"2530,00$","500,00$","1400,00$",,St-Nicolas,Québec Rive-Sud (Lévis),"1203, rue des Merisiers",3,1,1,2,1319.98,9441.03
6746,374500,"3180,70$","280,00$","2700,00$","1550,00$",Beauport,Québec Rive-Nord,"60, rue Latouche",7,2,1,3,,6477.5533
6748,450,,,,,La Malbaie,Charlevoix,"940, Chemin des Falaises",,,,,,300000.0
6749,699500,"1559,00$","404,00$","2400,00$",,Rawdon,Lanaudière,"3124, rue Beach",3,1,1,1,1360.0,10000.0
6750,390000,"2094,82$","262,02$","3320,00$","1575,00$",St-Donat,Lanaudière,"5, chemin Saint-Pierre",3,1,1,2,2038.47,40330.22
6751,899000,"3311,00$","618,00$","2520,00$",,Rivière des Prairies,Montréal / l'Île,"12800, place Edouard Kelly",3,2,1,2,1700.0,4080.0
6752,599000,"1813,37$","305,03$","2812,05$","3289,21$",St-Jean-De-Matha,Lanaudière,"1026, Chemin de la Belle-Montagne",5,4,,2,6000.0,108900.0
6753,250,,,,,Val-Alain,Chaudière-Appalaches,"5, Gérard-Fontaine",,,,,,1600050000.0
6754,829900,"3800,00$","1200,00$","5136,00$","240,00$",St-Jérôme (Bellefeuille),Laurentides,"1090, rue Mélanie",5,2,,1,1600.0,33000.0
6755,1750000,"7035,85$","1425,00$","2498,00$","2817,00$",Saint-Laurent,Montréal / l'Île,"2735, rue McWillis",3,1,,,,7030.0
6756,679900,"2595,00$","290,00$","1500,00$","1600,00$",St-Adolphe-D'Howard,Laurentides,"1170, chemin du Lac Beauchamp",3,2,,2,,130680.0
6757,650000,"1950,12$","212,42$","3170,00$","1760,64$",Ste-Anne-De-La-Rochelle,Estrie,"741, chemin du Lac",4,1,1,1,1575.0,217800.0
6758,300000,"2400,00$","380,00$","2986,00$",,Rimouski (Rimouski),Bas-Saint-Laurent,"797, boulevard Saint-Germain",3,2,1,2,2108.0,14072.0
6760,295000,"1658,00$","533,00$","625,00$","240,00$",St-Hyacinthe (St-Thomas-D'Aquin),Montérégie (Rive-Sud Montréal),"C-6294, boulevard Laframboise",2,1,1,1,1050.0,
6761,499000,"3169,85$","661,94$","2200,00$",,Nicolet,Centre-du-Québec,"1465, rue Gérard-Grenier",4,2,,2,1797.0,10185.0
6762,365000,"1300,00$","300,00$","1200,00$","2800,00$",Clermont,Abitibi-Témiscamingue,"989, chemin de Val-Clermont Ouest",5,3,1,3,3796.0,53820.0
6763,300000,"1759,00$","380,00$",,,Shefford,Estrie,"21, rue France",3,1,,1,945.0,18851.0
6764,250000,"3681,20$","177,92$",,"1715,00$",Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,"2199, rue Saint-Hubert",6,3,,,,54.51
6765,395000,"13000,00$",,,,St-Jean-Baptiste,Québec Rive-Nord,"850, rue Saint-Joachim",,,,,,1100.0
6766,250000,"1290,00$","108,00$",,,Val-Des-Monts,Outaouais,"27, chemin des Bruants",,,,,,78337.0
6767,300000,"2021,68$","473,90$","1800,00$","1000,00$",Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,"2675, rue Saint-Hubert",3,2,,1,1000.0,4087.0
6768,429000,"5078,41$","344,30$","1316,49$","1004,00$",St-Félicien,Saguenay-Lac-Saint-Jean,"676, boulevard du Sacré-Coeur",4,2,1,2,2729.0,30860.13
6769,998000,"4713,74$","700,00$",,,Chomedey,Laval,"1210-1210A-1214, rue Milton",3,1,1,,,4369.07
6770,1490000,"5229,00$","1630,00$","3352,00$","1830,00$",Pincourt,Montérégie Ouest,"51, place Sur le Roc",3,3,1,2,2200.0,23800.0
6772,1790000,"5973,00$","921,00$",,"2969,00$",Verdun,Montréal / l'Île,"668, 2e Avenue",,,,,,2759.625
6773,489900,"3700,00$","800,00$",,,Terrebonne (La Plaine),Lanaudière,"6559, rue des Harfangs",4,2,,1,960.0,12381.73
6774,329000,"1950,00$","600,00$","700,00$","1000,00$",La Baie,Saguenay-Lac-Saint-Jean,"3293, chemin de la Rivière",2,1,1,2,1450.0,33000.0
6775,145000,"1446,62$","294,30$",,,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,", rue du Père-Champagnat",,,,,,23143.0
6776,929000,,,"2352,00$","1120,00$",Lorraine,Laurentides,"164, boulevard de Gaulle",3,2,1,2,,9751.0
6777,599000,"2830,62$","780,50$",,,Gatineau (Gatineau),Outaouais,"62, rue Renaud",4,1,1,1,1100.0,5355.04
6778,319900,"1787,89$","366,42$",,,Ste-Julie,Montérégie (Rive-Sud Montréal),"2215, chemin du Fer-à-Cheval",2,1,,1,,
6779,299000,"1751,51$","454,32$",,"960,00$",Gatineau (Masson-Angers),Outaouais,"7, rue des Servantes",1,1,1,1,804.0,8600.0
6780,450000,"2131,77$",,"600,00$",,Saint-Léonard,Montréal / l'Île,"1405-4755, boulevard Métropolitain Est",1,1,,14,,
6781,480000,"3453,00$","316,00$",,"491,59$",Montcalm,Québec Rive-Nord,"402-10, rue de Bernières",2,1,1,1,1039.0,
6782,589000,"4800,00$","975,00$",,,Lévis,Québec Rive-Sud (Lévis),"4305, rue Saint-Georges",,,,,,22000.0
6784,499000,"2813,77$","793,69$","2341,80$","900,00$",Repentigny (Repentigny),Lanaudière,"67, rue Jean-Jallot",4,2,1,1,1506.504,7100.0
6785,479000,"2342,23$","174,60$","2201,31$","641,00$",Ste-Agathe-Des-Monts,Laurentides,"42, rue Desjardins",3,2,,2,1400.0,11000.0
6786,829000,"1500,00$","500,00$","1200,00$",,St-Dominique,Montérégie (Rive-Sud Montréal),"1029, 7e Rang",5,2,1,2,4000.0,552027.15
6787,575000,"2964,05$","718,05$","1825,20$",,St-Jean-sur-Richelieu (St-Athanase),Montérégie (Rive-Sud Montréal),"63, rue Romuald-Rémillard",4,1,1,2,1378.0,6135.0
6788,700000,"1200,00$",,,,St-Colomban,Laurentides,"781, montée de l'Église",,,,,,1150000.0
6790,3700000,,,,,Ste-Dorothée,Laval,"31, boulevard Samson",,,,,,
6792,245000,"3781,24$","462,67$","1386,38$","521,00$",Montmagny,Chaudière-Appalaches,"23, avenue Fournier",3,1,,1,,519.22
6793,750000,"3319,70$","344,38$","3840,00$",,Ste-Therese,Laurentides,"933, place Pigeon",5,2,1,2,1776.05,6000.0
6794,699000,"4602,53$","948,65$",,,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,"4150, rue de Sabrevois",4,2,1,2,1960.0,8737.8645
6796,342000,"3598,00$","757,00$","950,00$",,Vanier,Québec Rive-Nord,"604-1700, rue Isabelle-Aubert",2,2,,1,1071.0,
6797,319000,"1984,00$","195,00$","1000,00$","450,00$",Piedmont,Laurentides,"592, chemin du Skieur",2,1,,1,689.9,
6798,409900,"1902,00$","280,00$","1800,00$","360,00$",St-Raymond,Portneuf,"114, rue Daigle",3,2,,1,1104.0,36185.0
6799,650000,"2914,00$","333,00$","2500,00$","2500,00$",Pierrefonds / Roxboro,Montréal / l'Île,"4935, rue Dollard",4,2,,2,2045.14,7500.29
6800,525000,,,,,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,"9-2505, avenue Van Horne",3,1,,4,1200.0,10517.42
6801,199000,"2186,83$","383,68$","1105,00$","560,00$",Ste-Catherine-de-la-JC,Québec Rive-Nord,"404-4620, route de Fossambault",2,1,1,2,1250.0,
6802,895000,"2405,00$","171,00$",,,Le Sud-Ouest,Montréal / l'Île,5725-5729-5729A rue Hadley,5,1,,,,2000.0
6803,269000,,,,,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,"8490, boulevard Saint-Michel",2,1,,1,950.0,
6804,425000,"2935,00$","763,00$","2400,00$",,Charny,Québec Rive-Sud (Lévis),"4596, rue du Portage",5,2,1,2,1560.0,7472.31
6805,134000,"202,78$",,,,La Pêche,Outaouais,"270, chemin Kennedy",,,,,,185130.0
6806,260000,"2340,18$","433,34$","775,99$","360,00$",Neufchatel,Québec Rive-Nord,"9574, rue de la Camomille",2,1,,1,1130.0,
6808,593000,"3531,80$","582,70$",,,Coaticook,Estrie,"98, RUE NORTON",4,1,2,3,4209.0,1667.0
6809,449000,"1691,47$","389,93$",,,Wickham,Centre-du-Québec,"626, 10e rang",4,1,1,1,1246.0,69000.0
6810,455000,"4200,00$","800,00$","1080,00$","805,44$",Beaumont,Chaudière-Appalaches,"139, rue des Bosquets",2,1,1,1,1105.0,11650.0
6811,650000,"3722,00$","1058,00$","2435,00$","1410,00$",Alma,Saguenay-Lac-Saint-Jean,"1099, boulevard Saint-Jude",3,2,1,1,1560.0,25269.36
6812,1550000,,,,,St-Rédempteur,Québec Rive-Sud (Lévis),"150, rue Dom-Fulgence",,,,,,334550.95
6813,165000,"2813,02$","277,00$",,,St-Gabriel-De-Brandon,Lanaudière,"128-130, rue St-Joseph",3,,,,,3116.15
6814,198000,"1800,00$","450,00$",,,St-Jean-Chrysostome,Québec Rive-Sud (Lévis),"6-1005, rue des Champs",2,1,,1,1033.0,20000.0
6815,649000,,,,,Fossambault-Sur-Le-Lac,Québec Rive-Nord,"11, rue des Avirons",3,2,1,1,1248.0,7500.0
6816,368500,,,,,Ste-Claire,Chaudière-Appalaches,"152, boulevard Bégin",,,,,,25345.78
6817,245000,"2389,93$","424,15$","1726,43$","683,00$",Rimouski (Rimouski),Bas-Saint-Laurent,"11, rue Saint-Joseph  Est",5,3,,,,4816.85
6818,1234567,,,,,St-Flavien,Chaudière-Appalaches,"173, rue Principale",,,,,,211765.0
6820,599000,,,,,Ste-Clotilde-De-Chateauguay,Montérégie (Rive-Sud Montréal),"3, rue Saint-Eugène",6,2,,,,5000.0
6821,499999,"2591,82$","656,27$","651,97$","137,34$",Laval-des-Rapides,Laval,"1204-1710, rue Mcnamara",2,1,,13,984.0,
6822,35000,"606,33$","134,33$",,,Trécesson,Abitibi-Témiscamingue,"134, chemin Desormeaux",,,,,,155325.0
6823,12000,,,,,Auteuil,Laval,", rue Bayard",,,,,,5392.72
6824,525000,"2172,00$","420,66$","2170,00$","700,00$",Rivière des Prairies,Montréal / l'Île,"12705, 53e Avenue",2,2,,2,1575.0,5000.0
6825,375000,,,,,Roberval,Saguenay-Lac-Saint-Jean,", rue Saint-Dominique",,,,,,180000.0
6826,549000,"2370,00$","436,00$","1120,00$","1100,00$",Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,"535, rue Beausoleil",3,1,1,2,1408.0,5200.0
6827,450000,"2177,60$","747,80$","1500,00$","100,00$",Granby,Estrie,"270, rue du Séminaire",4,2,1,1,1100.0,4000.0
6828,539000,"2452,60$","450,67$","1150,00$",,Chomedey,Laval,"205-3499, avenue Jacques-Bureau",2,1,,1,950.0,
6829,260000,"2402,00$","438,00$","1000,00$","205,00$",Limoilou,Québec Rive-Nord,"104-1970, avenue de L'Émérillon",2,1,,4,936.0,
6830,500000,,,,,Ahuntsic / Cartierville,Montréal / l'Île,"214-10200, boulevard de l'Acadie",2,2,,1,1061.0,
6832,154000,"2220,00$","474,00$","1572,00$","723,00$",Port-Cartier,Côte-Nord,"10, 4e Rue",3,2,,2,1500.0,9377.2198
6833,688000,"2077,18$","694,66$","3450,00$",,Luskville,Outaouais,"576, chemin Crégheur",3,2,,2,2800.0,43643.35
6834,300000,"2101,07$","367,11$","1039,92$","500,00$",Duberger,Québec Rive-Nord,"3488, rue des Impatientes",2,1,1,1,878.34,3442.0
6835,699000,"3300,00$","369,00$",,,St-Charles-Borromée,Lanaudière,"138, rue Pierre-Mercure",3,2,1,2,1350.0,6000.0
6836,345000,"1978,00$","469,00$","2976,00$","1000,00$",St-Honore-De-Chicoutimi,Saguenay-Lac-Saint-Jean,"201, rue Honoré",2,1,1,1,1043.0,20069.0
6837,450000,"1707,00$","515,00$","2200,00$",,L'Épiphanie,Lanaudière,"7, rue Amireault",4,2,,1,,6000.0
6838,535000,"4053,01$","804,72$","3680,00$","1700,00$",Lac-Brome,Estrie,"38, rue Beach Hill",4,4,,2,3456.0,14086.73
6839,649900,"3270,00$","965,00$","2748,00$","1050,00$",Repentigny (Repentigny),Lanaudière,"620, rue Marquis",3,2,,2,1391.0,7078.0
6840,225000,"1635,00$","505,00$",,"1700,00$",Thetford Mines,Chaudière-Appalaches,"58-62, chemin du Mont Granit Ouest",8,3,,,,25000.0
6841,569000,"3106,42$","259,00$","5442,00$","3240,00$",Napierville,Montérégie (Rive-Sud Montréal),"269, rue Saint-Alexandre",3,,,,,13859.0
6842,146000,"1646,00$","282,00$","534,00$","517,00$",St-Jean-Baptiste,Québec Rive-Nord,"358, rue D'Aiguillon",1,1,,1,445.0,2560.0
6844,385000,"3230,80$","282,00$",,"650,00$",Les Saules,Québec Rive-Nord,"245-255, rue François-Villon",4,2,1,,,6802.79
6845,875000,"2600,00$","698,00$",,"1165,00$",St-Henri-de-Lévis,Chaudière-Appalaches,"100, rue de la Rive",1,1,,1,1300.0,20000.0
6846,1157240,,,,,Ste-Julie,Montérégie (Rive-Sud Montréal),"1480, chemin de la Belle-Rivière",,,,,,57861.0
6847,550000,"2643,00$","529,00$","1150,00$","335,00$",Boucherville,Montérégie (Rive-Sud Montréal),"26-1065, rue Charcot",2,1,,1,1180.0,
6848,832000,"4290,04$","1034,04$","2850,00$","1260,00$",Sorel-Tracy,Montérégie (Rive-Sud Montréal),"1036, chemin des Patriotes",04,1,1,1,2116.0,50132.0
6849,1600000,"7450,29$","1202,80$","199,46$","3622,07$",Rivière des Prairies,Montréal / l'Île,"9330, boulevard Perras",20,8,,,,7406.0
6850,995000,"2340,00$","581,00$","1500,00$","650,00$",Sherbrooke (Mont-Bellevue),Estrie,"1850, rue d'Orleans",3,2,,1,948.0,8469.0
6851,109000,"800,00$","223,00$",,,La Baie,Saguenay-Lac-Saint-Jean,"3491, Sentier Oréade",,,,,,70000.0
6852,180000,"703,64$","205,00$",,"1478,04$",ND-Du-Laus,Laurentides,"680, route 309 Nord",3,1,,1,,7500.0
6853,148000,"1803,87$","280,59$",,,Val-Bélair,Québec Rive-Nord,"116-1350, avenue du Golf-de-Bélair",1,1,1,3,570.0,
6854,40000,"389,00$","110,00$",,,Chicoutimi (Laterrière),Saguenay-Lac-Saint-Jean,"2212, chemin du Portage des Roches-Sud",,,,,,18277.12
6856,339500,"2348,00$","305,00$","800,00$",,Ste-Foy,Québec Rive-Nord,"420-3111, avenue des Hotels",2,2,,4,1140.0,
6857,55000,"466,56$","28,67$",,,St-Pierre-Les-Becquets,Centre-du-Québec,"103, rue du Centre",,,,,,239383.99
6858,150,,,,,Dunham,Estrie,"3848, rue Principale",,,,,,933038.0
6859,325000,"1400,00$","200,00$","660,00$",,Gatineau (Hull),Outaouais,"B-206, chemin Freeman",2,1,,1,850.0,
6860,799999,"4460,00$","566,00$","3870,00$","1200,00$",St-Amable,Montérégie (Rive-Sud Montréal),"1067, rue Principale",5,2,1,1,1940.0,17700.0
6861,680000,"3000,00$","600,00$","1884,00$",,Saint-Laurent,Montréal / l'Île,"335, rue Harriss",7,2,,,2000.0,4689.0
6862,475000,"3037,11$","735,78$","2782,86$",,St-Rédempteur,Québec Rive-Sud (Lévis),"479, rue Duquet",4,2,,1,1255.07,5618.76
6863,350000,"1019,00$","430,00$","900,00$",,Anjou,Montréal / l'Île,"4963, rue Duchesneau",1,1,,1,547.0,
6864,700000,"2846,00$","788,00$","2000,00$",,Ste-Rose,Laval,"2513, rue du Guêpier",3,1,1,2,,4220.0
6865,129900,"1580,00$","150,00$","1000,00$","318,00$",Charlesbourg,Québec Rive-Nord,"305-4425, rue le Monelier",1,1,4,4,776.0,
6866,383000,,"793,99$",,"1470,41$",St-Georges,Chaudière-Appalaches,"12125-12137, 52e Avenue",4,2,,,,31263.0
6868,1200000,"9508,00$","1166,24$",,,Portneuf,Portneuf,"220, rue Lucien Thibodeau",,,,,,80000.0
6869,295000,"3690,00$","270,00$","2820,00$","927,24$",St-Félicien,Saguenay-Lac-Saint-Jean,"1174, rue Aurélie-Matte",4,2,2,1,1336.0,8337.72
6870,359000,"3200,00$","224,00$",,,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,"127, rue des Épervières",4,2,,2,1657.0,11914.57
6871,450000,"2592,70$","534,43$","600,00$","180,00$",Saint-Léonard,Montréal / l'Île,"6-6560, boulevard Couture",2,1,,1,1255.61,
6872,225000,"1489,00$",,"1400,00$","1200,00$",St-Ludger-De-Milot,Saguenay-Lac-Saint-Jean,"203, chemin de la Prise-d'Eau",2,1,2,1,1800.0,46000.0
6873,1400000,"2253,70$","1401,21$","1878,78$",,Lachute,Laurentides,"576, chemin de l'Île-aux-Chats",4,1,1,2,1632.0,141000.0
6874,475000,"2219,00$","515,17$",,,Duvernay,Laval,"2935, avenue des Aristocrates",1,1,,5,1004.0,
6875,280000,"2281,19$","519,77$","700,00$","200,00$",Ste-Foy,Québec Rive-Nord,"7564D, boulevard Wilfrid-Hamel",2,1,1,2,1292.0,
6876,80000,,,,,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,"62, rue Viel",,,,,,22005.74
6877,398000,"2374,00$","500,00$","880,00$","900,00$",Ste-Claire,Chaudière-Appalaches,"109, rue Lacasse",3,2,1,1,1054.0,7550.0
6878,1000000,"1809,95$",,,,Chelsea,Outaouais,"31, chemin Childs",,,,,,1191241.97
6880,225000,"2231,00$","260,00$","1200,00$",,Ste-Foy,Québec Rive-Nord,"4-7372, rue Jacqueline-Auriol",3,1,,3,1325.0,17327.0
6881,343900,"1602,00$","461,00$",,,Ste-Martine,Montérégie (Rive-Sud Montréal),"69, rue des Tillieuls",2,1,,1,1200.0,
6882,10,,,,,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,"7320, boulevard Jean-XXIII",,,,,,100000.0
6883,849000,"4425,94$","813,99$",,,Montréal-Nord,Montréal / l'Île,"5595, boulevard Maurice-Duplessis",4,2,1,3,1834.0,6024.0
6884,685000,"4270,36$","928,65$","3240,00$",,Beauport,Québec Rive-Nord,"3219, rue du Grand-Duc",3,1,2,2,1699.0,5504.0
6885,625000,"3773,07$","912,97$","6260,00$","4779,00$",L'Islet,Chaudière-Appalaches,"88, chemin des Pionniers Est",10,,,,,30000.0
6886,228000,"1905,60$","458,18$","1134,25$",,St-Romuald,Québec Rive-Sud (Lévis),"1301, rue de Saturne",2,1,,,1200.0,
6887,379100,"2125,00$","875,20$",,,Duhamel-Ouest,Abitibi-Témiscamingue,"263-265, route 101 Sud",3,,,,,63527.0
6888,340000,"2542,00$","444,00$","649,00$",,Vieux-Québec,Québec Rive-Nord,"12-160, côte du Colonel-Dambourges",2,1,,3,936.46,47.0
6889,459000,"2994,00$","824,64$","2950,00$","1176,00$",Alma,Saguenay-Lac-Saint-Jean,"750, avenue de Picardie",4,1,1,3,1978.0,12400.0
6890,680000,"2729,30$","559,78$","2520,00$","800,00$",Pierrefonds / Roxboro,Montréal / l'Île,"4693, rue Nuckle",4,2,,1,1089.0,4601.61
6892,300000,"1927,00$","399,00$","1300,00$","372,00$",St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),"2322, route Lagueux",4,2,1,2,1242.0,7549.81
6893,1949000,"5119,13$","756,11$","1523,84$",,St-Sauveur,Laurentides,"925, chemin du Lac",4,3,1,2,4400.0,18104.0
6894,360000,"2570,44$","260,00$","2227,00$",,Limoilou,Québec Rive-Nord,"896, 2e Rue",3,2,,2,1490.0,1560.0
6895,550000,"3100,00$","250,00$","2000,00$","610,00$",St-Jérôme (St-Antoine),Laurentides,"1852, rue Raoul-Jobin",2,1,,1,1188.0,5880.0
6896,349000,,,,,Gatineau (Gatineau),Outaouais,"107-79, rue Cité-Jardins",2,2,,1,1019.0,
6897,329900,"3805,92$","909,64$","3830,40$",,Gaspé,Gaspésie-Îles-de-la-Madeleine,"13, rue Martin",6,3,1,2,2.0,9095.0
6898,233000,"1905,00$","160,44$","1100,00$","206,01$",St-Nicolas,Québec Rive-Sud (Lévis),"1142, rue Léon-Provancher",2,1,,1,825.59,13468.88
6899,159000,"2100,00$","360,00$","540,00$",,Vieux-Québec,Québec Rive-Nord,"310-936, rue des Prairies",1,1,1,4,705.0,
6900,1470000,,,"1440,00$",,Montcalm,Québec Rive-Nord,"65, rue Aberdeen",5,1,1,2,2500.0,2930.0
6901,389000,"2097,03$","350,00$",,,Ahuntsic / Cartierville,Montréal / l'Île,"957-10650, place de l'Acadie",2,1,,1,942.0,
6902,150000,"1000,00$","100,00$","2700,00$","1150,00$",Godbout,Côte-Nord,"234, rue Pascal-Comeau",5,1,1,2,818.2125000000001,35521.5825
6904,1499000,"23361,09$","1400,00$","10800,00$","4000,00$",Le Plateau-Mont-Royal,Montréal / l'Île,"5191, Boulevard Saint-Laurent",3,,,,,175.1
6905,1099000,"8040,00$","683,00$","1550,00$","870,00$",Gatineau (Hull),Outaouais,"1702-185, rue Laurier",1,1,1,1,1434.0,
6906,549000,"3040,00$","409,72$","600,00$","743,00$",Gatineau (Aylmer),Outaouais,"148, rue Arthur-Quesnel",3,1,1,2,1537.0,3229.4883000000004
6907,159900,"3729,73$","248,64$","6162,00$","5541,00$",Pohénégamook,Bas-Saint-Laurent,"1912, rue Principale",8,,,,,7680.0
6908,250000,"1716,94$","196,39$",,,Ste-Foy,Québec Rive-Nord,"204-2790, chemin des Quatre-Bourgeois",1,1,,1,526.0,
6909,269900,"1378,00$","135,33$",,"325,92$",Anjou,Montréal / l'Île,"102-7081, rue Saint-Zotique Est",1,1,,1,600.0,
6910,225000,"1937,00$","471,00$",,,La Baie,Saguenay-Lac-Saint-Jean,"1272, rue Saint-Stanislas",3,2,,1,761.33,
6911,500000,,,,,St-Eustache,Laurentides,"123, rue Pilon",4,1,1,1,1200.0,6000.0
6912,525000,"2937,00$","1170,00$","1800,00$",,Sorel-Tracy,Montérégie (Rive-Sud Montréal),"3020, rue de Bourbon",7,2,1,2,1884.0,6300.0
6913,204000,"1868,00$","360,00$","900,00$","325,00$",Beauport,Québec Rive-Nord,"422, rue de la Parmentière",2,1,,1,1210.0,6845.806500000001
6914,525000,"2400,00$","400,00$",,,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"1777, rue Dollard",4,2,,,,6478.428
6916,1900000,,,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"4903-1288, avenue des Canadiens-de-Montréal",3,2,,1,2056.0,
6917,649000,"3493,00$","1159,92$",,,St-Cyrille-De-Wendover,Centre-du-Québec,"1835-1837, 3e rang de Simpson",6,3,1,1,1968.0,33784.69
6918,449000,"3371,88$","600,00$","2340,00$",,Val-Bélair,Québec Rive-Nord,"1122, rue de l'Échiquier",4,2,,1,1088.0,5412.6657000000005
6919,69000,,,,,Petite-Rivière-St-François,Charlevoix,rue Fief,,,,,,49507.7184
6920,209000,"848,68$","163,79$","613,62$","325,84$",Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,"4-5960, rue Hochelaga",1,1,1,1,468.0,213.45
6921,1980000,"2367,00$","850,00$","3500,00$","3037,00$",Potton (Mansonville),Estrie,"12, chemin des Colibris",2,2,1,3,1900.0,185031.62
6922,849000,,,,,St-Sauveur,Laurentides,"84, avenue Aubry",,,,,,23744.11
6923,1000000,"3972,00$","805,00$",,"1150,00$",Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,"3100-3104, rue Dickson",5,3,,,,3000.0
6924,350000,"617,00$","163,00$","241,00$",,Hatley,Estrie,"Lot 26-50, rue des Hirondelles",1,2,,1,,4400.0
6925,450000,"2525,83$","749,67$","2160,00$","1324,00$",St-Jérôme (St-Antoine),Laurentides,"964, 5e Rue",3,2,,2,1444.0,6014.0
6926,750000,"3108,03$",,,"1500,00$",Ste-Therese,Laurentides,"11, rue Saint-Jacques Est",5,2,,,,5400.25
6928,365000,"4775,95$","472,98$",,,Sorel-Tracy,Montérégie (Rive-Sud Montréal),"1233, chemin des Patriotes",,,,,,14685.0
6929,285700,"2117,00$","405,82$","756,00$","254,04$",Beauport,Québec Rive-Nord,"01-2526, avenue Charles De Foucauld",2,1,1,2,1224.0,
6930,349000,"1813,22$","366,85$","200,00$",,Le Sud-Ouest,Montréal / l'Île,"339-3700, rue Saint-Antoine Ouest",1,1,,1,628.0,
6931,399000,"4959,14$","1111,56$",,,Sherbrooke (Fleurimont),Estrie,"1797-1805, rue Galt Est",3,1,,2,1350.0,20000.0
6932,175000,"2014,45$","470,57$","1884,96$",,Chicoutimi (Canton Tremblay),Saguenay-Lac-Saint-Jean,"121, rue Yvette",3,1,1,1,884.0,4595.0
6933,435000,"3989,00$","966,00$","3500,00$",,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,"4108, rue Ronsard",4,3,,1,1923.0,30010.0
6934,225000,"2093,13$","381,76$","939,36$",,Trois-Rivières (Trois-Rivières),Mauricie,"8044, rue Lucien-Lacombe",2,1,,1,1140.0,
6935,563000,"2149,00$","664,00$","2600,00$",,Rawdon,Lanaudière,"3153, 7e Avenue",4,2,,2,2394.0,12821.271999999999
6936,560000,"1600,25$","165,00$","1500,00$",,Wentworth-Nord,Laurentides,"1526, route Principale",2,1,1,2,,1162616.4
6937,850000,"4310,90$","850,00$","1800,00$","1100,00$",La Malbaie,Charlevoix,"25, côte de l'Épervier",6,2,1,2,2432.0,41175.0
6938,148000,"1669,00$","290,00$","798,00$",,Loretteville,Québec Rive-Nord,"203-28, impasse du Cap",2,1,,1,711.49,450.0
6940,215000,"2046,64$","356,46$","450,00$","340,00$",St-Polycarpe,Montérégie Ouest,"221, rue A.-Pharand",2,1,,1,1062.0,16951.0
6941,399000,"1664,17$","147,67$","1367,28$",,Ste-Anne-De-Sabrevois,Montérégie (Rive-Sud Montréal),"1224, rang Saint-Louis",2,1,1,1,685.0,9068.59
6942,580000,"2200,00$","500,00$","900,00$",,Gatineau (Masson-Angers),Outaouais,"137, rue des Amandiers",3,2,1,2,1220.0,2728.65
6943,2000000,,,,,Anjou,Montréal / l'Île,"7191, croissant du Littoral",3,1,1,2,,4400.0
6944,325000,"2300,00$","150,00$","800,00$",,St-Jérôme (Bellefeuille),Laurentides,"6-1305, boulevard Maisonneuve",2,1,,2,1035.0,
6945,335000,"928,10$","233,56$",,,Ste-Eulalie,Centre-du-Québec,"167, rang des Plaines",,,,,,34306.0
6946,400000,"1879,10$","393,14$","1425,11$",,Ahuntsic / Cartierville,Montréal / l'Île,"101-1605, rue Robert-Charbonneau",2,1,,1,1030.0,
6947,289000,,,,,Ste-Anne-Des-Monts,Gaspésie-Îles-de-la-Madeleine,"100, 1re Avenue Ouest",30,,,,,20990.197500000002
